id,text,target,id,mentioned_users
0,I had a very similar thought earlier. I've been very onboard with the necessity of restrictions througho… https://t.co/dJ9Uiy5eyI ,0,1,dijdowell
1,Could have made her point without bringing up BLM. These are the racial undertones we complain about because BLM wa… https://t.co/ji30lCvZ1V ,0,1,[]
2,"In Rage Over Sarah Everard Killing, ‘Women’s Bargain’ Is Put on Notice - The New York Times https://t.co/mkCitx6a1Y ",0,1,[]
3,"If you thought the right to protest was inalienable, then think again - Under the cover of Covid, the government pl… https://t.co/qzEsnsuW9O ",0,1,[]
4,Of course not this simple but optics kind of are: violent demos to protest death at h… https://t.co/K1pqLpxOVR ,1,1,"['MrHarryCole', 'ColonelShotover']"
5,Also a bad week for England to pass a bill to make it easier to crack down on peaceful protest. Things… https://t.co/pLJAthAYKE ,0,1,['alexmassie']
6,"Oppose this please 👇
https://t.co/ZfzIS3yYmO ",0,1,['Keir_Starmer']
7,Sorry I thought it was a vigil not a protest? 🤷‍♀️ ,0,1,"['damiengayle', 'cernusson']"
8,It took last nights poor policing for Labour to do a U-turn on abstaining on Priti Patel’s anti-protest crackdown p… https://t.co/6ffJoCj2A6 ,0,1,[]
9,"At this point, it's required - there's a certain point where protest becomes civil disobedience and civil d… https://t.co/TzP7uLSKLU ",0,1,['BenHks']
10,Local journalist wrote about Hertfordshire Police following this national… https://t.co/jnnILhYgLn ,0,1,"['NealOKelly', 'mollygiles2015', 'Indy_Sinead']"
11,Silencing Black Lives Matter: Priti Patel's anti-protest law - https://t.co/n1UT43O3qV https://t.co/Y9i56cIlA9 ,0,1,[]
12,I know you’ll be voting against the #PolicingBill that would criminalise peaceful protest in the UK. A… https://t.co/JKgtNBV7Xq ,0,1,['labourlewis']
13,"I was kettled near Eros not more than 10 years ago ! Anti-cuts protest, turned - bins on fire by evening ! ",0,1,"['ValDobson', 'AnneOatley']"
14,Hey 🙋 Peaceful protest is a British right. Women at a peaceful vigil for #SarahEverard did not nee… https://t.co/d3kU9MMPsO ,0,1,['victoriaprentis']
15,"If I am seeing this protest on Saturday 20th being advertised I'm sure the police are, inciting trouble for me this… https://t.co/ziDOzUls7T ",0,1,[]
16,Did she read the judgement? And tomorrow the MPs more than likely to give the Met her wish. Silent/no protest. ,0,1,['janemerrick23']
17,Protest.why did they unfurl their nishaan sahib flag on LAL qilla on 26th ja… https://t.co/n2PPXlnKoC ,0,1,"['SandipGhose', 'jgopikrishnan70', 'GaurieD']"
18,It should/will NEVER be time for the government to impose disproportionate controls on the… https://t.co/f4hmP4vY9N ,0,1,"['DavidLammy', 'pritipatel']"
19,"Also, as I tweeted a minute or two ago, that matter is settled. Protest rem… https://t.co/uoaYPRli32 ",0,1,"['friend_critical', 'KateMaltby', 'HaqueAbs']"
20,"Evidently it was a vigil, not a militant rent a mob protest.... ",1,1,['Arwenstar']
21,See whatever movement/protest/vigil was taking place in the memory of Sarah has now been hijacked by the soap dodgi… https://t.co/aEJCFNySTZ ,0,1,[]
22,Maybe remove the parts of the bill that criminalise peaceful protest if it caused ‘annoyance’ or is… https://t.co/bL2npvB6nf ,0,1,['amandamilling']
23,"home office: Stop police protest powers growing: Police, Crime, Sentencing and Courts Bill 2021 https://t.co/wFJ2YBEoEG via ",1,1,['UKChange']
24,"ANNOUNCEMENT!

#GrowITGrowPakistan #itkoizzatdo #share

We are going to record our protest against the unlawful bil… https://t.co/45jWfWTUEi ",0,1,[]
25,"If I protest lockdown because it's destroying my business I'm a ""covididiot"" and actively killin… https://t.co/oBT07ogKWd ",1,1,"['ed_itu', 'kentbased']"
26,#Palestinian protesters hold an anti-occupation protest as “israeli”occupation's Prime Minister #BenjaminNetanyahu… https://t.co/gvO8oBSMMZ ,0,1,[]
27,11 arrested at LA protest marking Breonna Taylor's death https://t.co/NRPfWcZMhj via ,1,1,['WashTimes']
28,"Everyone is standing against the continuous human right abuse of Alex Saab in Cape Verde. Just few days ago, the Ca… https://t.co/SkVwmbihEq ",0,1,[]
29,Anyone remember #SarahEverard ?! Watched a live video of the protest. Women protesting and intimidating *women* pol… https://t.co/qECmBMOhCR ,0,1,[]
30,Hey 🙋 Peaceful protest is a British right. Women at a peaceful vigil for #SarahEverard did not need… https://t.co/P0xUekAdHl ,0,1,['eleanor4epping']
31,Please please please if you live close enough to join this demonstration go there tonight and show this #ToryScum g… https://t.co/BtgDVWeuXh ,0,1,[]
32,"😄
I think this counts as a protest song now ",0,1,['quad_jonas']
33,CD literally wants everyone 'sitting back in an armchair' instead of exercising a right to protest.… https://t.co/oAsvn48pCQ ,1,1,['kateferguson4']
34,"Did you see them protest for either Pakistani gangs or Catholic Church? No, th… https://t.co/uVU1HEfp2V ",0,1,"['SorosPaidTroll', 'frump_john', 'Reuters']"
35,"Just so depressing. It was a vigil, not even a protest. How are the police so out of touch with the feeling on the… https://t.co/zfZMljIbRa ",0,1,[]
36,"you and your vile comrades turned a peaceful vigil into a protest

Mummy must be really proud of w… https://t.co/JlyzjIuTLv ",0,1,['PatsyeStevenson']
37,"home office: Stop police protest powers growing: Police, Crime, Sentencing and Courts Bill 2021 - Sign the Petition… https://t.co/ObbLMcTN92 ",1,1,[]
38,"This is a civilized protest, but keep this stupid lock down shit up and try to stop all Canadians from kicking in t… https://t.co/hdVet9ULRS ",0,1,[]
39,"Even if it does, protest will continue. It must. ",0,1,['shrimptony']
40,"GERMANY SATURDAY; Stuttgart, peaceful protest marking the anniversary of Covid restrictions , https://t.co/IklDhrFYsv ",0,1,[]
41,"So important. The proposed law is pretty terrifying.

home office: Stop police protest powers growing: Police, Crim… https://t.co/LFVKt0eT8q ",1,1,[]
42,Tories like and will bang on about how important personal liberty is - but you can abs… https://t.co/TQispAVk64 ,0,1,"['SteveBakerHW', 'DesmondSwayne']"
43,A Vigil has never done it before. A Protest sells it for a living? 🤔😳 ,0,1,['Mr_W_Carpenter']
44,Hey 🙋 Peaceful protest is a British right. Women at a peaceful vigil for #SarahEverard did not need… https://t.co/ZxmOybR75C ,0,1,['philipdaviesuk']
45,The officers at the #KillTheBill protest right now are primarily women and I don’t think that’s a coincidence given… https://t.co/pEJWp6t1dM ,0,1,[]
46,"The freedom of speech, the freedom to move, the freedom to protest, the freedom of being - these were reasons why t… https://t.co/vARXI2G7eP ",0,1,[]
47,Liberty-briefing-on-the-proposed-threats-to-protest-February-2021.pdf https://t.co/K2cu19bqNS ,1,1,[]
48,"Paint, Poems and Protest Anthems: Myanmar’s Coup Inspires the Art of Defiance https://t.co/cPTyQDbkgN ",0,1,[]
49,Theres no debate that outdoors is better than indoors… https://t.co/LpxSOwIFEn ,0,1,"['ByrneT_', 'stephen4018', 'SupermanEngland', 'SkyNews', 'skymarkwhite']"
50,"Hundreds protest outside Scotland Yard after cops storm Sarah vigil.

https://t.co/daDcPcC4GY ",1,1,[]
51,Theyre gonna protest murder? Isnt there already a law against that particular activity? Why not ask murd… https://t.co/CYU7y6OZEL ,0,1,['lizyeld']
52,"We strongly condemn the harangue of Dr. Shah Muhammad Marri that he delivered against Messrs Jam Kamal Khan, Chief… https://t.co/a4dfXdlORS ",1,1,[]
